,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2020-01-02,4.23,4.39,4.18,4.3,26784140.0,171165167.0,337384137.0,0.07938766842496807
1,2020-01-03,4.32,4.48,4.22,4.38,25366896.0,163396908.0,337384137.0,0.07518698485815295
2,2020-01-06,4.21,4.45,4.1,4.4,34523094.0,220099832.0,337384137.0,0.10232577710077698
3,2020-01-07,4.4,4.44,4.28,4.34,22331178.0,144841865.0,337384137.0,0.06618917593034317
4,2020-01-08,4.3,4.69,4.27,4.54,36929641.0,248202146.0,337384137.0,0.10945873545916002
5,2020-01-09,4.54,4.85,4.45,4.66,35931520.0,249912426.0,337384137.0,0.10650032428762352
6,2020-01-10,4.62,4.64,4.42,4.56,20688138.0,139675833.0,337384137.0,0.06131923742460956
7,2020-01-13,4.56,4.98,4.55,4.9,36161913.0,259891229.0,337384137.0,0.10718320464485857
8,2020-01-14,4.87,5.24,4.78,4.9,42971475.0,321534617.0,337384137.0,0.12736661356428858
9,2020-01-15,4.86,4.98,4.78,4.88,18467211.0,133911807.0,337384137.0,0.054736453124943456
10,2020-01-16,4.82,4.87,4.7,4.75,18558068.0,132684265.0,337384137.0,0.05500575150040323
11,2020-01-17,4.75,4.8,4.53,4.57,20755784.0,143931214.0,337384137.0,0.061519738848895555
12,2020-01-20,4.59,4.68,4.54,4.61,17061546.0,117572830.0,337384137.0,0.050570089488232224
13,2020-01-21,4.6,4.86,4.55,4.74,20845502.0,146495238.0,337384137.0,0.061785661250576225
14,2020-01-22,4.7,4.98,4.35,4.86,24868432.0,176856258.0,337384137.0,0.07370954728674751
15,2020-01-23,4.76,5.02,4.61,4.68,22531516.0,162473132.0,337384137.0,0.06678297385392486
16,2020-02-03,4.21,5.08,4.21,4.8,45345038.0,314731052.0,337384137.0,0.1344018079901605
17,2020-02-04,4.99,5.28,4.8,5.28,42824076.0,329517014.0,337384137.0,0.12692972580391354
18,2020-02-05,5.53,5.81,5.35,5.45,64635833.0,536729158.0,337384137.0,0.1915793480237039
19,2020-02-06,5.28,5.99,5.25,5.99,61502720.0,518002096.0,337384137.0,0.18229286221598498
20,2020-02-07,5.98,6.35,5.52,5.71,57779651.0,515807835.0,337384137.0,0.17125775833378912
21,2020-02-10,5.79,5.87,5.4,5.77,40479137.0,340768601.0,337384137.0,0.11997937235561255
22,2020-02-11,5.71,6.35,5.61,6.35,51340967.0,470523668.0,337384137.0,0.15217362457085526
23,2020-02-12,6.21,6.98,6.12,6.98,43641992.0,433065198.0,337384137.0,0.12935401287109122
24,2020-02-13,7.43,7.68,7.09,7.68,73695694.0,824191413.0,337384137.0,0.21843259927777814
25,2020-02-14,8.01,8.29,7.26,8.11,74355280.0,884923356.0,337384137.0,0.22038759931383495
26,2020-02-17,7.93,8.92,7.49,8.92,62168455.0,775589615.0,337384137.0,0.1842660877680802
27,2020-02-18,9.04,9.81,8.94,9.81,46492494.0,656826326.0,337384137.0,0.13780284518830238
28,2020-02-19,10.49,10.64,8.82,8.99,72068945.0,1030001875.0,337384137.0,0.21361094697822144
29,2020-02-20,8.74,9.67,8.74,9.29,52065333.0,720528808.0,337384137.0,0.1543206312631112
30,2020-02-21,9.04,9.46,8.73,9.16,46714504.0,636183731.0,337384137.0,0.13846087849708238
31,2020-02-24,9.16,9.82,9.16,9.25,44188149.0,624506518.0,337384137.0,0.13097281156404814
32,2020-02-25,9.25,10.06,9.23,9.93,60953668.0,878395791.0,337384137.0,0.18066548279950695
33,2020-02-26,9.5,9.8,8.94,8.94,43247613.0,599632666.0,337384137.0,0.1281850812090789
34,2020-02-27,8.61,8.88,8.04,8.1,43436918.0,535423684.0,337384137.0,0.12874617753590473
35,2020-02-28,7.91,8.47,7.71,7.89,36497852.0,441125609.0,337384137.0,0.10817892128698392
36,2020-03-02,7.93,8.29,7.93,8.07,29678519.0,359808464.0,337384137.0,0.08796655131417752
37,2020-03-03,8.23,8.48,8.04,8.15,32864748.0,406308066.0,337384137.0,0.09741047190964998
38,2020-03-04,8.08,8.27,7.8,7.95,20874345.0,248946126.0,337384137.0,0.06187115133987464
39,2020-03-05,8.23,8.43,8.05,8.23,27163141.0,333102314.0,337384137.0,0.08051101999499165
40,2020-03-06,8.31,9.05,8.11,8.81,45379605.0,590373203.0,337384137.0,0.1345042639037887
41,2020-03-09,8.82,9.04,8.29,8.29,39428886.0,508083350.0,337384137.0,0.11686644888108655
42,2020-03-10,7.71,7.96,7.47,7.81,37567267.0,429201863.0,337384137.0,0.11134864648363714
43,2020-03-11,7.73,8.0,7.16,7.16,38539634.0,434423494.0,337384137.0,0.11423072330161153
44,2020-03-12,7.08,7.32,6.68,6.89,32510811.0,337471538.0,337384137.0,0.09636140954664979
45,2020-03-13,6.6,6.66,6.3,6.49,43242274.0,418120813.0,337384137.0,0.1281692565172381
46,2020-03-16,6.6,6.77,6.08,6.13,36107380.0,349959958.0,337384137.0,0.10702156989674948
47,2020-03-17,6.28,6.35,5.85,6.0,27564362.0,248955798.0,337384137.0,0.08170023121152255
48,2020-03-18,6.15,6.19,5.9,5.9,24685625.0,223577571.0,337384137.0,0.07316771090515142
49,2020-03-19,6.05,6.15,5.79,6.13,28868108.0,259377682.0,337384137.0,0.0855645089205839
50,2020-03-20,6.21,6.24,5.92,6.03,21092394.0,190636887.0,337384137.0,0.0625174443219303
51,2020-03-23,5.88,5.91,5.58,5.69,20137860.0,174014880.0,337384137.0,0.059688224168049725
52,2020-03-24,5.89,5.9,5.49,5.76,20116671.0,171180849.0,337384137.0,0.05962542038542849
53,2020-03-25,5.89,6.19,5.84,6.11,29218829.0,261888347.0,337384137.0,0.08660403912232542
54,2020-03-26,6.03,6.05,5.79,5.87,19881406.0,175779859.0,337384137.0,0.05892809951524188
